None	L6	NOT-FOUND	 helper. Quotes are copied from the retrieved page/HTML text. arXiv full text was read at 
None	L13	exact:2d0387da5b29b872e889bcb82362800c	feat: Session-reference-aware Unified Radix Cache for agentic multi-turn workloads
None	L14	NOT-FOUND	CacheConfig.enable_prefix_caching: bool = True
None	L15	exact:c121776c7fa99dc3da1185fd7170ff61	--enable-mamba-fine-grained-prefix-cache
None	L16	exact:92f7d3bbd99938265ead17ae76200b77	[Core] Skip broadcasting mm tensor data to workers for prefix-cache-covered items
CLOSED-1	L30	exact:2d0387da5b29b872e889bcb82362800c	feat: Session-reference-aware Unified Radix Cache for agentic multi-turn workloads
CLOSED-1	L30	NOT-FOUND	KV cache growth across multi-turn agentic sessions
CLOSED-1	L30	exact:2d0387da5b29b872e889bcb82362800c	In multi-turn inference workloads such as agentic workflows and RL rollouts, active sessions ac
CLOSED-1	L30	exact:2d0387da5b29b872e889bcb82362800c	Applications pass a stable top-level session_id with each request. When a request finishes, SGL
CLOSED-1	L30	exact:2d0387da5b29b872e889bcb82362800c	(is_referenced, session_ref_count, base_eviction_priority)
CLOSED-1	L30	exact:2d0387da5b29b872e889bcb82362800c	two LRU passes: unreferenced nodes first, then referenced nodes if more space is required.
CLOSED-1	L30	exact:2d0387da5b29b872e889bcb82362800c	Referenced KV is soft-protected, not pinned. If unreferenced KV is insufficient, referenced ent
CLOSED-1	L30	exact:2d0387da5b29b872e889bcb82362800c	reusable state at the session frontier
CLOSED-2	L35	NOT-FOUND	 The hash controls are also present: `prefix_caching_hash_algo: PrefixCachingHashAlgo = 
CLOSED-2	L35	NOT-FOUND	` and `prefix_cache_retention_interval` (with `0` retaining 
CLOSED-2	L35	NOT-FOUND	). The design doc states the mechanism and its limit: 
CLOSED-2	L35	exact:c121776c7fa99dc3da1185fd7170ff61	Multi-round conversation, where the user may chat with the application multiple times in the sa
CLOSED-2	L35	exact:c121776c7fa99dc3da1185fd7170ff61	APC does not bring performance gain when vLLM spends most of the time generating answers to the
CLOSED-2	L35	exact:2013606202a77e31fb1efcf6077094c4	enable_prefix_caching: bool = True
CLOSED-2	L35	exact:2013606202a77e31fb1efcf6077094c4	prefix_cache_retention_interval
CLOSED-3	L40	NOT-FOUND	KV reuse across turns with changing system prompts / shared long prefix diverging mid-block
CLOSED-3	L40	exact:c121776c7fa99dc3da1185fd7170ff61	Under `--mamba-cache-mode align`, Mamba state is stored only on the Mamba block grid, so a pref
CLOSED-3	L40	exact:c121776c7fa99dc3da1185fd7170ff61	This helps when many requests share a long system prompt and then diverge.
CLOSED-3	L40	exact:c121776c7fa99dc3da1185fd7170ff61	It is off by default, and takes effect only when all of the following hold: `--mamba-cache-mode
CLOSED-3	L40	exact:c121776c7fa99dc3da1185fd7170ff61	--enable-mamba-fine-grained-prefix-cache
CLOSED-3	L40	exact:c121776c7fa99dc3da1185fd7170ff61	, Mamba state is stored only on the Mamba block grid, so a prefix-cache hit can resume only at 
CLOSED-3	L40	exact:c121776c7fa99dc3da1185fd7170ff61	, EAGLE/MTP speculative decoding on the Mamba group, 
CLOSED-3	L40	NOT-FOUND	vllm/config/cache.py:198  enable_mamba_fine_grained_prefix_cache: bool = False
CLOSED-4	L45	exact:92f7d3bbd99938265ead17ae76200b77	njhill merged 8 commits into vllm-project:main
CLOSED-4	L45	exact:92f7d3bbd99938265ead17ae76200b77	The EngineCore->TP-worker broadcast was designed when request inputs were token IDs (kilobytes)
CLOSED-5	L50	NOT-FOUND	tool-calling KV reuse / retrieval-triggered re-encoding
CLOSED-5	L50	exact:53261bea112e2630c0e71a90b1da12d8	every retrieval triggers a full re-encoding of these structured memory units into Key-Value (KV
CLOSED-5	L50	NOT-FOUND	AgentKVShift achieves near full recompute performance while refreshing only 10-30% of the cache
CLOSED-5	L50	exact:html_2607_21604	All experiments are run on a single NVIDIA A100 GPU, except for Qwen3-32B AMA-Bench evaluation 
CLOSED-6	L55	NOT-FOUND	how to bound KV for long chain-of-thought + retrieval-driven agentic loops
CLOSED-6	L55	exact:4214342bf1f0aa42ef00cd60dfd1df5a,exact:html_2602_22603	In such tasks, the LLM context is dominated by tokens from external retrieval, causing memory u
CLOSED-6	L55	exact:4214342bf1f0aa42ef00cd60dfd1df5a,exact:html_2602_22603	we frame KV cache compression as an auxiliary task executed in parallel to the main reasoning t
CLOSED-6	L55	exact:4214342bf1f0aa42ef00cd60dfd1df5a	Our evaluations, using a model trained with just 215 samples, show that SideQuest reduces peak 
CLOSED-6	L55	exact:html_2602_22603	ensuring full compatibility with prefix caching to enable efficient context reuse across multip
CLOSED-6	L55	exact:html_2602_22603	we compare Sidequest against the uncompressed baseline for gpt-oss-20b (Medium Effort) on the F
CLOSED-7	L60	NOT-FOUND	repeated compression of early turns destroys multi-turn coherence
CLOSED-7	L60	exact:html_2505_15347	existing eviction strategies often degrade performance by repeatedly compressing early conversa
CLOSED-8	L65	exact:6ac465a56d6c0ee48393e2e7acdb3867	EpiCache bounds cache growth through block-wise prefill and preserves topic-relevant context vi
CLOSED-9	L70	exact:cd68e0118b3e4cc2840f0711ed35e795,exact:html_2609_03494	GrowPage maintains lightweight dual-timescale query summaries to capture recent and long-term a
CLOSED-9	L70	exact:html_2609_03494	All experiments are conducted on a single NVIDIA A100 GPU with 80 GB memory. Following Zipage, 
CLOSED-10	L75	NOT-FOUND	which eviction policy should a prefix cache use for agentic/multi-turn traffic
CLOSED-10	L75	exact:95c26aac0deaabbbe33ba00b9bbdf0cf	different token types within a prompt, including system prompts, user queries, tool outputs, mo
CLOSED-10	L75	exact:95c26aac0deaabbbe33ba00b9bbdf0cf	a multi-queue architecture that routes KV blocks to task-specific queues with tailored priority
CLOSED-10	L75	exact:95c26aac0deaabbbe33ba00b9bbdf0cf	fixed-parameter alternatives can degrade by up to 2.7x under workload mismatch
CLOSED-10	L75	exact:html_2605_18825	Under low-to-moderate concurrency with a single small model, vLLM's aggressive memory managemen
CLOSED-11	L80	exact:html_2506_02634	KV$ reuses are skewed across requests, where reuses between single-turn requests are equally im
CLOSED-11	L80	exact:html_2506_02634	The lifespan of KV$ is ephemeral: the P99 lifespan of KV$ in to-B workloads is 97 seconds, so a
CLOSED-11	L80	exact:html_2506_02634	we collected and characterized two representative production serving workloads from one of the 
CLOSED-12	L85	NOT-FOUND	can token eviction for reasoning coexist with paged/prefix-cached serving
CLOSED-12	L85	NOT-FOUND	This paper introduces Compressed PagedAttention, a method that combines token-wise KV cache evi
CLOSED-13	L90	exact:html_2601_21927	The linear growth of Key-Value (KV) cache remains a bottleneck for multi-turn LLM deployment. E
CLOSED-13	L90	exact:html_2601_21927	at compression ratios of 80% and 50%, SONIC consistently outperforms baselines such as H2O and 
OPEN-1	L96	exact:eca5738624fafaee3e4bd8cf3588abba	[Test] Add a prefix-caching x tool-calling gate
OPEN-1	L98	exact:eca5738624fafaee3e4bd8cf3588abba	Agentic deployments run prefix caching and tool calling together — repeated system prompts and 
OPEN-1	L99	exact:eca5738624fafaee3e4bd8cf3588abba	`vllm:prefix_cache_queries` and `vllm:prefix_cache_hits` non-zero, and zero in the control arm
OPEN-1	L99	exact:eca5738624fafaee3e4bd8cf3588abba	Test-only; requires a GPU and a small model, so it suits a nightly or opt-in tier rather than a
OPEN-1	L99	exact:eca5738624fafaee3e4bd8cf3588abba	tests/tool_use/test_prefix_cache_tool_calling.py
OPEN-1	L99	exact:7d879d8dcc1c033817a4eb65d5b5c3fb,exact:93d489c75c95434772efa37d9	vllm:prefix_cache_queries
OPEN-2	L103	exact:fe41805b7ce36b6424101b9dc512a045	[Core][V1] Add cache-aware admission ordering
